username,payout,points,total_payout,total_points,total_wus
8b8nugwhbl7z,45.4,1549154,6530.97,53553026,645
icgxk7crhrq7,19.44,228581,24422.72,53144062,1157
w209vyylto4v,11.89,40566,75608.29,54063384,1031
zw12nd34pdbn,42.98,235714,35085.09,53020466,1210
q9odpma86maf,40.08,1273056,8268.76,53462035,745
3fp81s6xghe8,46.92,280500,15082.71,52873902,697
5rxkx69yd50m,66.37,666376,10999.91,52660310,607
g0g4l0b1gi1a,13.15,125055,69934.15,53360256,501
qdfe1qoiksls,93.13,1493007,6311.3,52314869,251
kuqxk1dikxz3,92.34,1462648,4105.43,51781584,359
bpltc55a4wjh,61.26,556600,10010.54,52258078,578
otwv0713v07n,27.74,412635,10335.79,52071200,1480
38xegf0dfcrx,87.71,1293103,4549.62,51844599,303
5nm2cyxfxg50,19.01,274124,10301.12,51606947,469
4xl8wxmh6f8j,50.53,368346,11874.3,51676529,847
p37h6i7c5d7l,106.5,2038684,3614.79,51495873,310
zao08215jiol,53.27,411280,11964.59,51366455,599
8n08294y1ngs,55.07,440934,11409.46,52298332,854
93t9yqu90rh6,9.76,49644,97864.52,52256462,11004
pkl0t2rkxajo,26.33,528467,8289.32,51414574,276
58k3x69tshqj,68.88,726968,6087.11,50129551,392
9o3j2ud3e5oy,25.91,388515,22796.32,51290797,707
dwhnomnquidw,66.6,671463,9736.6,51168672,506
