username,payout,points,total_payout,total_points,total_wus,created_at
i5bxjkm58d06,14.29,104508,41.87,304311,10,2021-08-23T15:11:33.338Z
i543c2yyjpcr,13.43,96610,677.0,3280862,41,2021-05-21T06:29:50.691Z
i5cp3830r7ss,60.65,1013812,4086.93,56465319,456,2021-05-10T15:36:23.72Z
i5pe4d1103ly,2.58,4948,543.66,297349,68,2021-05-22T01:45:24.270Z
i5rs1hibhrvk,2.66,14485,434.77,564704,62,2021-06-14T17:42:13.744Z
i5ltj02vezos,43.83,534556,9226.32,92667921,999,2021-05-18T04:38:11.808Z
i4semtmmuz9l,2.68,11767,563.21,754584,72,2021-05-07T19:39:11.593Z
i4v14cr0fa8u,4.19,8368,925.45,7166320,130,2021-06-27T09:33:32.963Z
i5sbd7j8i3hs,4.11,9586,1607.82,1378325,224,2019-04-27T00:31:11.625Z
i55m00bb7wnc,44.12,236959,10953.11,67013068,1043,2021-04-24T23:11:46.445Z
i4rdidrjeczu,3.36,20410,2130.29,8624013,251,2021-05-25T01:47:00.353Z
i43vc46pibzc,8.22,54346,7155.32,20881902,663,2021-03-10T12:47:45.459Z
i2z0tgqtla1x,2.62,3695,1021.29,369747,120,2019-08-05T06:50:41.689Z
i2zhe26chaux,52.79,276040,5769.77,34721577,428,2021-06-17T02:48:16.922Z
i3iv9o9vvvfc,26.18,124459,3534.27,14971648,149,2021-05-13T19:28:43.679Z
i2nv6umbt9wc,27.14,246469,3369.55,27255201,349,2021-06-22T09:53:41.728Z
i2e46k44gq6g,9.78,65823,213.61,1380359,67,2021-06-16T14:09:34.331Z
i31khoyfto1m,1.96,19497,850.9,1832168,150,2021-05-07T00:16:58.395Z
i3vrp0du7p6w,5.34,33654,3993.72,11635215,614,2021-03-28T01:37:07.860Z
i2hqyer2lgtp,4.12,18368,4451.9,14681477,1088,2021-04-23T09:01:44.81Z
i2dv6mnijskl,21.39,175789,1269.46,8112410,255,2021-05-19T06:15:25.332Z
i180wmckt3di,17.54,135198,3683.52,22185917,326,2021-06-14T07:45:42.489Z
i2bpm00bi0hx,1.62,6936,1363.54,1196925,211,2021-02-13T13:05:02.65Z
i1rmkf9kmsq8,8.91,60114,5062.95,24771861,790,2021-04-24T18:47:36.3Z
i12ifgnf9ug3,30.82,298320,1966.63,15108512,182,2021-06-27T02:18:25.614Z
i1q1w5sssxqa,2.4,13308,1258.65,3131227,446,2021-06-14T21:00:02.881Z
i0nsyx6ngklm,31.96,315353,2433.91,18966497,227,2021-06-27T02:13:49.956Z
i2bo2nrikdww,2.0,20627,2162.41,4106328,406,2021-02-09T12:35:55.534Z
i0gwhmlyscpd,21.63,178622,6334.51,34659813,979,2021-05-05T14:02:00.847Z
i0x42svmoj86,4.08,8368,17147.21,4243607,1588,2020-05-19T22:59:12.400Z
i088hgo8pq7y,3.5,21271,1625.86,3644199,255,2021-04-22T00:23:59.253Z
hynqipxsukuk,5.4,34033,1736.11,3904350,242,2021-04-18T21:27:43.154Z
